pond,treatment,sample_loc,sample_total_mL,tow_volume_L,percent_sampled,volume_processed_mL,Copepod_<0.5,Copepod_0.51-0.75,Copepod_0.76-1,Copepod_1.1-1.5,Copepod_1.6-2,Copepod_>2.1,Daphnia_<0.5,Daphnia_0.51-0.75,Daphnia_0.76-1,Daphnia_1.1-1.5,Daphnia_1.6-2,Daphnia_>2.1,Mosquito Larvae_<0.5,Mosquito Larvae_0.51-0.75,Mosquito Larvae_0.76-1,Mosquito Larvae_1.1-1.5,Mosquito Larvae_1.6-2,Mosquito Larvae_>2.1,Chaoborus_<0.5,Chaoborus_0.51-0.75,Chaoborus_0.76-1,Chaoborus_1.1-1.5,Chaoborus_1.6-2,Chaoborus_>2.1,Calanoid_<0.5,Calanoid_0.51-0.75,Calanoid_0.76-1,Calanoid_1.1-1.5,Calanoid_1.6-2,Calanoid_>2.1,Diaphanosoma_<0.5,Diaphanosoma_0.51-0.75,Diaphanosoma_0.76-1,Diaphanosoma_1.1-1.5,Diaphanosoma_1.6-2,Diaphanosoma_>2.1,Cladoceran_<0.5,Cladoceran_0.51-0.75,Cladoceran_0.76-1,Cladoceran_1.1-1.5,Cladoceran_1.6-2,Cladoceran_>2.1,Chironomid_<0.5,Chironomid_0.51-0.75,Chironomid_0.76-1,Chironomid_1.1-1.5,Chironomid_1.6-2,Chironomid_>2.1,Cyclopoid_<0.5,Cyclopoid_0.51-0.75,Cyclopoid_0.76-1,Cyclopoid_1.1-1.5,Cyclopoid_1.6-2,Cyclopoid_>2.1,Rotifer_<0.5,Rotifer_0.51-0.75,Rotifer_0.76-1,Rotifer_1.1-1.5,Rotifer_1.6-2,Rotifer_>2.1,Ostracod_<0.5,Ostracod_0.51-0.75,Ostracod_0.76-1,Ostracod_1.1-1.5,Ostracod_1.6-2,Ostracod_>2.1,Insects_<0.5,Insects_0.51-0.75,Insects_0.76-1,Insects_1.1-1.5,Insects_1.6-2,Insects_>2.1,Chydorid_<0.5,Chydorid_0.51-0.75,Chydorid_0.76-1,Chydorid_1.1-1.5,Chydorid_1.6-2,Chydorid_>2.1,Gastropod_<0.5,Gastropod_0.51-0.75,Gastropod_0.76-1,Gastropod_1.1-1.5,Gastropod_1.6-2,Gastropod_>2.1,Simocephalus_<0.5,Simocephalus_0.51-0.75,Simocephalus_0.76-1,Simocephalus_1.1-1.5,Simocephalus_1.6-2,Simocephalus_>2.1,Nauplis_<0.5,Nauplis_0.51-0.75,Nauplis_0.76-1,Nauplis_1.1-1.5,Nauplis_1.6-2,Nauplis_>2.1,Karatella_<0.5,Karatella_0.51-0.75,Karatella_0.76-1,Karatella_1.1-1.5,Karatella_1.6-2,Karatella_>2.1,Bosmina_<0.5,Bosmina_0.51-0.75,Bosmina_0.76-1,Bosmina_1.1-1.5,Bosmina_1.6-2,Bosmina_>2.1,Crustaceans_<0.5,Crustaceans_0.51-0.75,Crustaceans_0.76-1,Crustaceans_1.1-1.5,Crustaceans_1.6-2,Crustaceans_>2.1,Mite_<0.5,Mite_0.51-0.75,Mite_0.76-1,Mite_1.1-1.5,Mite_1.6-2,Mite_>2.1
1,hybrid,DE Vert,95,70.3,21.1,20,0,2,3,2,0,0,0,0,0,0,0,0,0,2,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,11,0,0,0,0,0,1,10,7,6,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,hybrid,DES,47.5,502.4,24.2,11.5,4,6,3,0,0,0,16,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,hybrid,SES,52.5,502.4,22.9,12,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,no fish,DE Vert,51,157,44.1,22.5,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,1,2,0,0,4,1,1,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,no fish,DES,47.5,628,36.8,17.5,4,2,0,0,0,0,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,16,1,0,0,0,0,0,0,0,0,0,0,4,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,no fish,SES,50,628,73,36.5,0,0,0,0,0,0,0,1,0,6,2,32,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,7,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,hybrid and marine,DE Vert,249.5,157,21.6,54,0,0,0,0,0,0,27,14,1,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,14,4,14,0,0,0,1,0,0,0,0,0,0,0,0,1,8,3,1,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,hybrid and marine,DES,55,439.6,27.3,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,hybrid and marine,SES,101,439.6,43.6,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,no fish,DE Vert,50,70.3,21,10.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,no fish,DES,43,502.4,20.9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,241,30,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,no fish,SES,43,502.4,54.7,23.5,124,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,hybrid,DE Vert,98,157,52,51,28,39,12,1,0,0,0,0,0,0,0,0,0,0,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,5,2,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0
5,hybrid,DES,47.5,628,24.2,11.5,29,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,150,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,hybrid,SES,85,628,85.8,72.95,0,0,0,5,5,0,6,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,19,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,hybrid and marine,DES,175,861.6,27.9,48.8,8,2,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,hybrid and marine,SES,147.5,861.6,25.8,38,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
