pond,treatment,sample_loc,sample_total_mL,tow_volume_L,percent_sampled,volume_processed_mL,taxa,size,count,density_count_per_L
1,hybrid,DE Vert,95,70.3,21.1,20,Copepod,0.51-0.75,2,0.13513513513513514
1,hybrid,DE Vert,95,70.3,21.1,20,Copepod,0.76-1,3,0.20270270270270271
1,hybrid,DE Vert,95,70.3,21.1,20,Copepod,1.1-1.5,2,0.13513513513513514
1,hybrid,DE Vert,95,70.3,21.1,20,Mosquito Larvae,0.51-0.75,2,0.13513513513513514
1,hybrid,DE Vert,95,70.3,21.1,20,Mosquito Larvae,0.76-1,2,0.13513513513513514
1,hybrid,DE Vert,95,70.3,21.1,20,Mosquito Larvae,1.1-1.5,3,0.20270270270270271
1,hybrid,DE Vert,95,70.3,21.1,20,Mosquito Larvae,1.6-2,4,0.2702702702702703
1,hybrid,DE Vert,95,70.3,21.1,20,Cladoceran,<0.5,10,0.6756756756756757
1,hybrid,DE Vert,95,70.3,21.1,20,Cladoceran,0.51-0.75,15,1.0135135135135136
1,hybrid,DE Vert,95,70.3,21.1,20,Cladoceran,0.76-1,11,0.7432432432432434
1,hybrid,DE Vert,95,70.3,21.1,20,Chironomid,0.76-1,1,0.06756756756756757
1,hybrid,DE Vert,95,70.3,21.1,20,Chironomid,1.1-1.5,10,0.6756756756756757
1,hybrid,DE Vert,95,70.3,21.1,20,Chironomid,1.6-2,7,0.47297297297297297
1,hybrid,DE Vert,95,70.3,21.1,20,Rotifer,<0.5,15,1.0135135135135136
1,hybrid,DE Vert,95,70.3,21.1,20,Rotifer,0.51-0.75,1,0.06756756756756757
1,hybrid,DES,47.5,502.4,24.2,11.5,Copepod,<0.5,4,0.03288562725006923
1,hybrid,DES,47.5,502.4,24.2,11.5,Copepod,0.51-0.75,6,0.049328440875103845
1,hybrid,DES,47.5,502.4,24.2,11.5,Copepod,0.76-1,3,0.024664220437551922
1,hybrid,DES,47.5,502.4,24.2,11.5,Daphnia,<0.5,16,0.13154250900027692
1,hybrid,DES,47.5,502.4,24.2,11.5,Daphnia,1.1-1.5,1,0.008221406812517307
1,hybrid,DES,47.5,502.4,24.2,11.5,Mosquito Larvae,0.76-1,1,0.008221406812517307
1,hybrid,DES,47.5,502.4,24.2,11.5,Mosquito Larvae,1.6-2,2,0.016442813625034615
1,hybrid,DES,47.5,502.4,24.2,11.5,Chaoborus,1.6-2,1,0.008221406812517307
1,hybrid,DES,47.5,502.4,24.2,11.5,Cladoceran,<0.5,2,0.016442813625034615
1,hybrid,DES,47.5,502.4,24.2,11.5,Cyclopoid,0.51-0.75,1,0.008221406812517307
1,hybrid,DES,47.5,502.4,24.2,11.5,Rotifer,<0.5,1450,11.921039878150097
1,hybrid,DES,47.5,502.4,24.2,11.5,Nauplis,<0.5,15,0.12332110218775963
1,hybrid,SES,52.5,502.4,22.9,12,Copepod,<0.5,3,0.02612460191082803
1,hybrid,SES,52.5,502.4,22.9,12,Copepod,0.51-0.75,3,0.02612460191082803
1,hybrid,SES,52.5,502.4,22.9,12,Daphnia,0.76-1,2,0.01741640127388535
1,hybrid,SES,52.5,502.4,22.9,12,Chaoborus,0.76-1,4,0.0348328025477707
1,hybrid,SES,52.5,502.4,22.9,12,Calanoid,0.76-1,6,0.05224920382165606
1,hybrid,SES,52.5,502.4,22.9,12,Cladoceran,<0.5,12,0.10449840764331211
1,hybrid,SES,52.5,502.4,22.9,12,Cladoceran,0.51-0.75,2,0.01741640127388535
1,hybrid,SES,52.5,502.4,22.9,12,Chironomid,0.51-0.75,2,0.01741640127388535
1,hybrid,SES,52.5,502.4,22.9,12,Chironomid,1.1-1.5,1,0.008708200636942675
1,hybrid,SES,52.5,502.4,22.9,12,Rotifer,<0.5,1650,14.368531050955415
1,hybrid,SES,52.5,502.4,22.9,12,Insects,1.1-1.5,1,0.008708200636942675
1,hybrid,SES,52.5,502.4,22.9,12,Nauplis,<0.5,16,0.1393312101910828
1,hybrid,SES,52.5,502.4,22.9,12,Bosmina,<0.5,1,0.008708200636942675
1,hybrid,SES,52.5,502.4,22.9,12,Bosmina,0.76-1,8,0.0696656050955414
2,no fish,DE Vert,51,157,44.1,22.5,Daphnia,0.51-0.75,1,0.014437367303609342
2,no fish,DE Vert,51,157,44.1,22.5,Daphnia,0.76-1,18,0.2598726114649682
2,no fish,DE Vert,51,157,44.1,22.5,Mosquito Larvae,1.6-2,1,0.014437367303609342
2,no fish,DE Vert,51,157,44.1,22.5,Chaoborus,0.76-1,4,0.05774946921443737
2,no fish,DE Vert,51,157,44.1,22.5,Chaoborus,1.1-1.5,1,0.014437367303609342
2,no fish,DE Vert,51,157,44.1,22.5,Chaoborus,1.6-2,1,0.014437367303609342
2,no fish,DE Vert,51,157,44.1,22.5,Calanoid,0.76-1,3,0.04331210191082802
2,no fish,DE Vert,51,157,44.1,22.5,Diaphanosoma,0.76-1,1,0.014437367303609342
2,no fish,DE Vert,51,157,44.1,22.5,Cyclopoid,0.51-0.75,1,0.014437367303609342
2,no fish,DES,47.5,628,36.8,17.5,Copepod,<0.5,4,0.017288444040036398
2,no fish,DES,47.5,628,36.8,17.5,Copepod,0.51-0.75,2,0.008644222020018199
2,no fish,DES,47.5,628,36.8,17.5,Daphnia,<0.5,1,0.0043221110100090995
2,no fish,DES,47.5,628,36.8,17.5,Daphnia,0.51-0.75,2,0.008644222020018199
2,no fish,DES,47.5,628,36.8,17.5,Daphnia,0.76-1,6,0.025932666060054593
2,no fish,DES,47.5,628,36.8,17.5,Daphnia,1.1-1.5,1,0.0043221110100090995
2,no fish,DES,47.5,628,36.8,17.5,Diaphanosoma,0.51-0.75,6,0.025932666060054593
2,no fish,DES,47.5,628,36.8,17.5,Diaphanosoma,0.76-1,16,0.06915377616014559
2,no fish,DES,47.5,628,36.8,17.5,Diaphanosoma,1.1-1.5,1,0.0043221110100090995
2,no fish,DES,47.5,628,36.8,17.5,Chironomid,0.76-1,4,0.017288444040036398
2,no fish,DES,47.5,628,36.8,17.5,Chironomid,1.1-1.5,9,0.03889899909008189
2,no fish,DES,47.5,628,36.8,17.5,Chironomid,1.6-2,2,0.008644222020018199
2,no fish,SES,50,628,73,36.5,Daphnia,0.51-0.75,1,0.0021813105313672454
2,no fish,SES,50,628,73,36.5,Daphnia,1.1-1.5,6,0.013087863188203472
2,no fish,SES,50,628,73,36.5,Daphnia,1.6-2,2,0.004362621062734491
2,no fish,SES,50,628,73,36.5,Chironomid,0.51-0.75,1,0.0021813105313672454
2,no fish,SES,50,628,73,36.5,Chironomid,1.1-1.5,3,0.006543931594101736
2,no fish,SES,50,628,73,36.5,Rotifer,0.51-0.75,7,0.015269173719570718
2,no fish,SES,50,628,73,36.5,Rotifer,0.76-1,28,0.06107669487828287
2,no fish,SES,50,628,73,36.5,Simocephalus,0.76-1,1,0.0021813105313672454
2,no fish,SES,50,628,73,36.5,Nauplis,<0.5,13,0.028357036907774188
3,hybrid and marine,DE Vert,249.5,157,21.6,54,Daphnia,<0.5,27,0.7945859872611465
3,hybrid and marine,DE Vert,249.5,157,21.6,54,Daphnia,0.51-0.75,14,0.41200754895022407
3,hybrid and marine,DE Vert,249.5,157,21.6,54,Daphnia,0.76-1,1,0.02942911063930172
3,hybrid and marine,DE Vert,249.5,157,21.6,54,Daphnia,1.1-1.5,2,0.05885822127860344
3,hybrid and marine,DE Vert,249.5,157,21.6,54,Mosquito Larvae,<0.5,2,0.05885822127860344
3,hybrid and marine,DE Vert,249.5,157,21.6,54,Mosquito Larvae,0.76-1,1,0.02942911063930172
3,hybrid and marine,DE Vert,249.5,157,21.6,54,Chaoborus,<0.5,1,0.02942911063930172
3,hybrid and marine,DE Vert,249.5,157,21.6,54,Cladoceran,<0.5,3,0.08828733191790517
3,hybrid and marine,DE Vert,249.5,157,21.6,54,Chironomid,<0.5,1,0.02942911063930172
3,hybrid and marine,DE Vert,249.5,157,21.6,54,Chironomid,0.51-0.75,1,0.02942911063930172
3,hybrid and marine,DE Vert,249.5,157,21.6,54,Chironomid,1.1-1.5,14,0.41200754895022407
3,hybrid and marine,DE Vert,249.5,157,21.6,54,Chironomid,1.6-2,4,0.11771644255720688
3,hybrid and marine,DE Vert,249.5,157,21.6,54,Cyclopoid,1.1-1.5,1,0.02942911063930172
3,hybrid and marine,DE Vert,249.5,157,21.6,54,Ostracod,<0.5,1,0.02942911063930172
3,hybrid and marine,DE Vert,249.5,157,21.6,54,Ostracod,0.51-0.75,8,0.23543288511441376
3,hybrid and marine,DE Vert,249.5,157,21.6,54,Ostracod,0.76-1,3,0.08828733191790517
3,hybrid and marine,DE Vert,249.5,157,21.6,54,Ostracod,1.1-1.5,1,0.02942911063930172
3,hybrid and marine,DE Vert,249.5,157,21.6,54,Insects,0.76-1,1,0.02942911063930172
3,hybrid and marine,DE Vert,249.5,157,21.6,54,Insects,1.1-1.5,2,0.05885822127860344
3,hybrid and marine,DE Vert,249.5,157,21.6,54,Chydorid,<0.5,2,0.05885822127860344
3,hybrid and marine,DE Vert,249.5,157,21.6,54,Simocephalus,<0.5,1,0.02942911063930172
3,hybrid and marine,DE Vert,249.5,157,21.6,54,Nauplis,<0.5,1,0.02942911063930172
3,hybrid and marine,DES,55,439.6,27.3,15,Copepod,<0.5,1,0.008340915984228085
3,hybrid and marine,DES,55,439.6,27.3,15,Mosquito Larvae,1.6-2,3,0.025022747952684256
3,hybrid and marine,DES,55,439.6,27.3,15,Chironomid,1.6-2,1,0.008340915984228085
3,hybrid and marine,DES,55,439.6,27.3,15,Rotifer,<0.5,1,0.008340915984228085
3,hybrid and marine,DES,55,439.6,27.3,15,Nauplis,<0.5,1,0.008340915984228085
3,hybrid and marine,SES,101,439.6,43.6,44,Diaphanosoma,0.51-0.75,1,0.0052216891388865904
3,hybrid and marine,SES,101,439.6,43.6,44,Diaphanosoma,0.76-1,1,0.0052216891388865904
3,hybrid and marine,SES,101,439.6,43.6,44,Cladoceran,0.51-0.75,1,0.0052216891388865904
4,no fish,DE Vert,50,70.3,21,10.5,Copepod,<0.5,1,0.067736909842173
4,no fish,DE Vert,50,70.3,21,10.5,Chaoborus,0.51-0.75,1,0.067736909842173
4,no fish,DE Vert,50,70.3,21,10.5,Chaoborus,0.76-1,1,0.067736909842173
4,no fish,DE Vert,50,70.3,21,10.5,Cladoceran,<0.5,19,1.287001287001287
4,no fish,DE Vert,50,70.3,21,10.5,Cladoceran,0.51-0.75,54,3.6577931314773426
4,no fish,DES,43,502.4,20.9,9,Cladoceran,0.51-0.75,1,0.009509907997169144
4,no fish,DES,43,502.4,20.9,9,Cladoceran,0.76-1,29,0.2757873319179052
4,no fish,DES,43,502.4,20.9,9,Cladoceran,1.1-1.5,241,2.291887827317764
4,no fish,DES,43,502.4,20.9,9,Cladoceran,1.6-2,30,0.28529723991507433
4,no fish,DES,43,502.4,20.9,9,Cyclopoid,1.1-1.5,3,0.02852972399150743
4,no fish,DES,43,502.4,20.9,9,Rotifer,1.1-1.5,3,0.02852972399150743
4,no fish,SES,43,502.4,54.7,23.5,Copepod,<0.5,124,0.45161946063152186
4,no fish,SES,43,502.4,54.7,23.5,Copepod,0.51-0.75,2,0.007284184848895515
4,no fish,SES,43,502.4,54.7,23.5,Chaoborus,0.76-1,2,0.007284184848895515
4,no fish,SES,43,502.4,54.7,23.5,Chaoborus,1.1-1.5,5,0.018210462122238785
4,no fish,SES,43,502.4,54.7,23.5,Cladoceran,<0.5,1,0.0036420924244477573
4,no fish,SES,43,502.4,54.7,23.5,Cladoceran,0.51-0.75,1,0.0036420924244477573
4,no fish,SES,43,502.4,54.7,23.5,Cladoceran,0.76-1,1,0.0036420924244477573
4,no fish,SES,43,502.4,54.7,23.5,Cladoceran,1.1-1.5,1,0.0036420924244477573
4,no fish,SES,43,502.4,54.7,23.5,Chironomid,1.1-1.5,4,0.01456836969779103
4,no fish,SES,43,502.4,54.7,23.5,Chironomid,1.6-2,1,0.0036420924244477573
5,hybrid,DE Vert,98,157,52,51,Copepod,<0.5,28,0.3427001373797927
5,hybrid,DE Vert,98,157,52,51,Copepod,0.51-0.75,39,0.4773323342075684
5,hybrid,DE Vert,98,157,52,51,Copepod,0.76-1,12,0.14687148744848258
5,hybrid,DE Vert,98,157,52,51,Copepod,1.1-1.5,1,0.012239290620706882
5,hybrid,DE Vert,98,157,52,51,Mosquito Larvae,0.76-1,3,0.036717871862120645
5,hybrid,DE Vert,98,157,52,51,Mosquito Larvae,1.6-2,1,0.012239290620706882
5,hybrid,DE Vert,98,157,52,51,Cladoceran,<0.5,3,0.036717871862120645
5,hybrid,DE Vert,98,157,52,51,Cladoceran,0.51-0.75,15,0.18358935931060322
5,hybrid,DE Vert,98,157,52,51,Cladoceran,0.76-1,5,0.06119645310353441
5,hybrid,DE Vert,98,157,52,51,Cladoceran,1.1-1.5,2,0.024478581241413763
5,hybrid,DE Vert,98,157,52,51,Chironomid,1.6-2,2,0.024478581241413763
5,hybrid,DE Vert,98,157,52,51,Insects,0.51-0.75,1,0.012239290620706882
5,hybrid,DE Vert,98,157,52,51,Insects,0.76-1,10,0.12239290620706882
5,hybrid,DE Vert,98,157,52,51,Insects,1.1-1.5,2,0.024478581241413763
5,hybrid,DE Vert,98,157,52,51,Crustaceans,<0.5,5,0.06119645310353441
5,hybrid,DE Vert,98,157,52,51,Crustaceans,0.51-0.75,1,0.012239290620706882
5,hybrid,DES,47.5,628,24.2,11.5,Copepod,<0.5,29,0.19073663805040156
5,hybrid,DES,47.5,628,24.2,11.5,Copepod,0.51-0.75,13,0.08550263085018
5,hybrid,DES,47.5,628,24.2,11.5,Copepod,0.76-1,1,0.006577125450013846
5,hybrid,DES,47.5,628,24.2,11.5,Diaphanosoma,<0.5,1,0.006577125450013846
5,hybrid,DES,47.5,628,24.2,11.5,Cladoceran,<0.5,5,0.03288562725006923
5,hybrid,DES,47.5,628,24.2,11.5,Nauplis,<0.5,43,0.2828163943505954
5,hybrid,DES,47.5,628,24.2,11.5,Karatella,<0.5,150,0.9865688175020768
5,hybrid,DES,47.5,628,24.2,11.5,Bosmina,<0.5,57,0.37489615065078924
5,hybrid,SES,85,628,85.8,72.95,Copepod,1.1-1.5,5,0.009276923815718818
5,hybrid,SES,85,628,85.8,72.95,Copepod,1.6-2,5,0.009276923815718818
5,hybrid,SES,85,628,85.8,72.95,Daphnia,<0.5,6,0.011132308578862583
5,hybrid,SES,85,628,85.8,72.95,Daphnia,0.51-0.75,2,0.003710769526287528
5,hybrid,SES,85,628,85.8,72.95,Chaoborus,0.51-0.75,3,0.005566154289431292
5,hybrid,SES,85,628,85.8,72.95,Chaoborus,1.1-1.5,1,0.001855384763143764
5,hybrid,SES,85,628,85.8,72.95,Calanoid,0.51-0.75,11,0.0204092323945814
5,hybrid,SES,85,628,85.8,72.95,Calanoid,0.76-1,1,0.001855384763143764
5,hybrid,SES,85,628,85.8,72.95,Cladoceran,0.51-0.75,12,0.022264617157725167
5,hybrid,SES,85,628,85.8,72.95,Cladoceran,0.76-1,4,0.007421539052575056
5,hybrid,SES,85,628,85.8,72.95,Chironomid,0.51-0.75,2,0.003710769526287528
5,hybrid,SES,85,628,85.8,72.95,Chironomid,0.76-1,1,0.001855384763143764
5,hybrid,SES,85,628,85.8,72.95,Chironomid,1.6-2,4,0.007421539052575056
5,hybrid,SES,85,628,85.8,72.95,Insects,1.6-2,1,0.001855384763143764
5,hybrid,SES,85,628,85.8,72.95,Simocephalus,<0.5,6,0.011132308578862583
5,hybrid,SES,85,628,85.8,72.95,Nauplis,0.51-0.75,3,0.005566154289431292
5,hybrid,SES,85,628,85.8,72.95,Bosmina,<0.5,19,0.03525231049973151
5,hybrid,SES,85,628,85.8,72.95,Bosmina,0.51-0.75,1,0.001855384763143764
5,hybrid,SES,85,628,85.8,72.95,Bosmina,0.76-1,2,0.003710769526287528
6,hybrid and marine,DES,175,861.6,27.9,48.8,Copepod,<0.5,8,0.033296801984869936
6,hybrid and marine,DES,175,861.6,27.9,48.8,Copepod,0.51-0.75,2,0.008324200496217484
6,hybrid and marine,DES,175,861.6,27.9,48.8,Copepod,1.1-1.5,1,0.004162100248108742
6,hybrid and marine,DES,175,861.6,27.9,48.8,Daphnia,0.76-1,2,0.008324200496217484
6,hybrid and marine,DES,175,861.6,27.9,48.8,Mosquito Larvae,0.51-0.75,3,0.012486300744326226
6,hybrid and marine,DES,175,861.6,27.9,48.8,Rotifer,<0.5,80,0.33296801984869934
6,hybrid and marine,DES,175,861.6,27.9,48.8,Rotifer,0.51-0.75,1,0.004162100248108742
6,hybrid and marine,DES,175,861.6,27.9,48.8,Rotifer,0.76-1,3,0.012486300744326226
6,hybrid and marine,DES,175,861.6,27.9,48.8,Ostracod,0.51-0.75,1,0.004162100248108742
6,hybrid and marine,DES,175,861.6,27.9,48.8,Nauplis,<0.5,4,0.016648400992434968
6,hybrid and marine,SES,147.5,861.6,25.8,38,Copepod,0.51-0.75,1,0.004505082343742364
6,hybrid and marine,SES,147.5,861.6,25.8,38,Mosquito Larvae,0.76-1,1,0.004505082343742364
6,hybrid and marine,SES,147.5,861.6,25.8,38,Mite,1.1-1.5,1,0.004505082343742364
