plot,Amphipods,Isopods,Copepods,Ostracods,Cumaceans,Tanaids,Polychaetes,Polychaete case,Oligochaetes/nematodes,Mussels,Clams,Phyllaplysia,limpets,Caprellid,Haminoea,Gastropod 1,Gastropod 2,Gastropod 3,hermit crab,egg mass,mite,,,
1,4,0,0,0,0,0,0,0,0,0,0,26,0,0,0,1,0,0,0,0,0,,,
2,1,0,0,0,0,0,0,0,0,1,0,44,2,0,1,0,0,0,0,0,0,,,
3,2,1,0,0,0,0,3,0,0,0,0,74,0,0,0,0,0,0,0,0,0,,,
4,3,0,0,0,0,0,0,1,0,0,0,27,6,0,0,0,0,0,0,0,0,,,
5,12,1,0,0,0,0,13,1,0,0,0,51,4,7,0,0,0,0,0,0,0,,,
6,1,0,0,0,0,0,0,0,0,0,0,18,1,1,1,0,0,0,1,0,0,,,
7,1,0,0,0,0,0,4,0,2,0,0,14,1,0,0,0,0,0,0,0,0,,,
8,4,0,0,0,0,0,17,0,1,0,0,11,0,0,0,0,0,0,0,0,0,,,
9,6,1,0,0,0,0,1,0,0,0,0,22,1,0,1,0,0,0,0,0,0,,,
10,8,4,0,0,0,1,11,0,0,0,0,16,1,2,0,1,0,0,0,1,0,,,
11,6,1,0,0,0,0,5,0,0,0,0,20,0,1,0,0,0,0,0,0,0,,,
12,4,0,0,0,0,0,2,0,0,0,0,31,0,1,0,0,0,0,0,0,0,,,
13,11,4,0,0,0,0,1,0,1,0,0,88,31,10,0,0,0,0,0,0,0,,,
14,9,5,0,0,0,0,3,1,0,0,0,104,14,0,0,0,0,0,0,0,0,,,
15,2,3,0,0,0,0,1,0,0,0,0,82,5,0,0,0,0,0,0,0,0,,,
16,2,0,0,0,0,0,0,0,2,2,0,78,0,0,0,0,0,0,0,0,0,,,
17,3,0,0,0,0,0,4,0,0,0,0,42,0,0,0,0,0,0,0,0,0,,,
18,9,6,0,0,0,0,1,0,0,0,0,44,8,0,0,0,0,0,0,0,0,,,
19,25,3,0,0,0,0,13,7,3,2,0,62,5,1,0,0,0,0,0,0,0,,,
20,14,10,0,0,0,0,0,0,2,0,1,98,11,5,0,0,0,1,0,0,0,,,
23,1,0,0,0,0,0,0,1,0,0,0,32,4,0,2,0,1,0,0,0,0,,,
22,25,7,0,0,0,0,7,0,1,0,0,84,7,0,0,1,0,0,0,1,0,,,
24,7,14,20,0,0,0,0,1,0,1,0,83,7,1,0,0,0,0,0,0,1,,,