plot,number_shoots,shoot_no,shoot_length,shoot_width,sheath_length,sheath_width,no_leaves
13,12,1,93,0.8,23,0.8,5
13,12,2,91,0.5,21,0.5,3
13,12,3,77,0.6,13,0.6,4
17,18,1,115.6,0.9,12.3,0.8,5
17,18,2,83.8,0.7,16.9,0.6,5
17,18,3,48.5,0.3,12.5,0.4,3
17,18,4,98.6,0.6,18,0.5,5
17,18,5,137.1,0.7,6,0.5,6
17,18,6,138.5,0.5,5.9,0.6,5
17,18,7,109,0.8,13.8,0.8,5
17,18,8,77.7,0.6,16.2,0.5,5
17,18,9,79.3,0.4,14,0.3,5
17,18,10,78.5,0.5,9.3,0.4,5
17,18,11,111.5,0.4,12,0.4,5
22,8,1,101.8,0.1,4.9,0.4,6
22,8,2,131.2,0.8,15.6,0.6,6
22,8,3,114.6,0.8,8.1,0.4,6
11,7,1,56.1,0.4,10.5,0.45,5
11,7,2,98.2,0.7,16.9,0.7,5
11,7,3,84.5,0.6,17.3,0.7,5
11,7,4,90.8,0.8,18.6,0.7,6
11,7,5,87.9,0.7,14.3,0.7,6
11,7,6,88.7,0.72,16.4,0.8,6
11,7,7,68.2,0.5,12.6,0.5,5
5,7,1,113.5,0.8,28.7,0.7,5
5,7,2,103.5,0.5,25.8,0.5,5
5,7,3,99.8,0.7,23.5,0.6,6
5,7,4,103.2,0.6,27.6,0.6,5
5,7,5,105.3,0.5,24.5,0.5,4
5,7,6,96.6,0.4,23.8,0.4,4
5,7,7,79.5,0.4,18.9,0.4,5
2,6,1,77.7,0.7,15.5,0.6,4
2,6,2,32.7,0.4,7.9,0.5,4
2,6,3,46.4,0.5,10.4,0.5,3
2,6,4,64.1,0.6,12.8,0.6,4
2,6,5,67.1,0.6,11.2,0.6,3
2,6,6,55.7,0.5,9.4,0.5,3
12,10,1,74,0.6,12,0.5,4
12,10,2,83.5,0.8,11,0.6,3
12,10,3,86.5,0.6,16,0.5,4
12,10,4,72.5,0.7,18.5,0.5,5
12,10,5,65,0.6,10,0.4,5
12,10,6,58,0.5,10,0.5,4
12,10,7,38.7,0.5,10,0.5,4
12,10,8,34.5,0.7,13.5,0.6,2
12,10,9,48.5,0.7,17.8,0.8,4
12,10,10,60.5,0.5,8.5,0.8,5
8,9,1,112.2,0.7,27.2,0.8,5
8,9,2,105.2,0.7,27.5,0.7,4
8,9,3,104.9,0.7,24.7,0.7,4
20,22,1,91.4,0.7,18.9,0.7,5
20,22,2,77.7,0.7,17.3,0.6,5
20,22,3,85.2,0.7,18.6,0.8,4
20,22,4,92.2,0.8,21.2,0.8,4
20,22,5,87.4,0.7,17.5,0.7,4
20,22,6,81.6,0.8,18.2,0.8,5
20,22,7,80.1,0.7,21.1,0.6,5
20,22,8,53.4,0.8,14.3,0.7,4
20,22,9,75.2,0.7,16.3,0.7,4
20,22,10,48.7,0.7,15.2,0.6,5
6,17,1,74,0.5,11,0.5,4
6,17,2,65,0.4,9,0.4,3
6,17,3,71,0.5,9.5,0.5,3
6,17,4,51.5,0.4,6.5,0.35,3
6,17,5,75,0.6,10.5,0.6,4
6,17,6,79,0.4,14,0.5,4
6,17,7,99.5,0.8,9,0.8,5
6,17,8,104,0.8,9,0.8,5
6,17,9,97,0.6,14,0.6,5
6,17,10,82,0.5,9,0.5,4
19,4,1,87,0.7,14.5,0.7,6
19,4,2,78.5,0.6,20.8,0.7,6
19,4,3,30.7,0.4,10.8,0.4,5
19,4,4,47.6,0.6,10,0.6,5
1,6,1,44.5,0.3,11,0.4,5
1,6,2,43.4,0.5,12.3,0.5,5
1,6,3,88.3,0.4,19,0.6,5
1,6,4,77,0.5,19.4,0.5,5
1,6,5,88.4,0.7,19.4,0.7,6
1,6,6,75.3,0.6,18.5,0.6,6
14,12,1,107.7,0.7,,,
14,12,2,84.8,0.6,,,
14,12,3,63.5,0.7,,,
14,12,4,77.4,0.5,,,
14,12,5,80.9,0.6,,,
4,6,1,69.8,0.7,10.5,0.7,
4,6,2,71.4,0.6,5.4,0.6,
4,6,3,60.2,0.5,8.7,0.5,
4,6,4,82.3,0.7,13.7,0.8,
4,6,5,41.5,0.4,4.8,0.4,
4,6,6,46.3,0.6,10.5,0.5,
10,3,1,82.4,0.4,14.7,0.4,4
10,3,2,108.4,0.8,25.2,0.7,6
10,3,3,100.2,0.7,21.5,0.6,5
24,10,1,97.5,0.7,17.6,0.8,4
24,10,2,124.6,0.7,18.3,0.8,4
24,10,3,129,0.6,31,0.6,4
24,10,4,70.5,0.4,13.1,0.5,5
24,10,5,87.5,0.9,14,0.3,5
24,10,6,128.3,0.9,19.4,0.7,5
24,10,7,114.5,0.9,19.4,0.7,5
24,10,8,122.5,0.5,6.8,0.6,3
24,10,9,86.2,0.6,6,0.8,5
24,10,10,135.3,0.6,14,0.7,4
16,12,1,33,0.5,,,
16,12,2,78.2,,,,
16,12,3,41.1,,,,
16,12,4,66.5,,,,
16,12,5,48,,,,
16,12,6,53.5,,,,
16,12,7,67,,,,
7,5,1,52.9,,,,
7,5,2,73.4,,,,
7,5,3,101.9,,,,
7,5,4,86.8,,,,
7,5,5,101.7,,,,
15,4,1,119.5,0.7,30.9,0.7,5
15,4,2,91.5,0.6,23.5,0.6,5
15,4,3,108.5,0.7,26.1,0.7,6
15,4,4,116.7,0.8,27.9,0.9,5
18,4,1,125.5,0.6,7,0.7,5
18,4,2,79.5,0.5,14.4,0.4,5
18,4,3,79.8,0.6,9.5,0.7,5
18,4,4,77.5,0.3,21.8,0.3,4
9,5,1,118.2,0.7,30.6,0.6,3
9,5,2,80.2,0.6,12.5,0.7,3
9,5,3,105.8,0.8,21.7,0.8,4
9,5,4,97.3,0.7,20.1,0.7,3
9,5,5,84.3,0.6,15.2,0.5,4
3,19,1,85.1,0.6,17.3,0.6,3
3,19,2,111.2,0.7,19,0.7,4
3,19,3,89.8,0.6,18.5,0.6,5
3,19,4,66,0.7,17.4,0.7,5
3,19,5,76.7,0.5,14.8,0.4,4
3,19,6,86.7,0.5,14.6,0.5,4
3,19,7,81.7,0.5,8,0.7,4
3,19,8,87.2,0.4,16.8,0.5,4
3,19,9,62.1,0.3,13.1,0.4,3
3,19,10,77.6,0.8,15.2,0.7,5
3,19,11,59.1,0.5,3,0.4,4
3,19,12,77.5,0.5,7.5,0.5,5
3,19,13,67.3,0.3,10.1,0.4,5
3,19,14,55.2,0.4,12.2,0.3,4
3,19,15,53.2,0.5,5.4,0.4,2
3,19,16,68.5,0.5,15.5,0.6,4
3,19,17,75.1,0.6,14.5,0.7,5
3,19,18,79.2,0.3,15.4,0.6,5
3,19,19,64.4,0.6,11.2,0.5,4